,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
4546,FL,Florida,Williston Highlands,2275,21.5,29.7,15.5,36.1,76.2,7.4,9.2,78.5,8.3,76.0,86.0,69.9,10.5,37.2,30.5,22.8,54.8,21.7,12.4,19.0,33.5,3.5,29.3,69.5,16.4,34.9,13.5,33.1,3.9,18.1
4548,FL,Florida,Noma,211,24.0,30.3,14.5,41.1,75.7,6.4,10.3,78.3,8.1,76.0,85.4,67.9,12.1,32.4,33.1,28.4,43.3,22.5,14.4,24.1,35.4,3.7,33.3,72.2,18.5,39.5,16.2,38.8,4.5,21.4
4551,FL,Florida,South Palm Beach,1171,12.0,33.9,8.6,44.0,85.7,14.2,6.9,83.9,11.7,83.8,95.1,82.3,9.1,47.2,46.2,8.7,75.4,13.8,13.0,13.6,42.3,4.7,21.3,79.2,9.1,20.2,10.9,25.7,4.7,8.9
4562,FL,Florida,Westville,289,22.9,28.5,15.8,36.8,73.8,7.0,9.6,77.5,8.6,74.3,84.0,69.5,11.4,36.7,32.7,25.2,46.7,22.8,12.0,21.2,34.3,3.6,30.1,70.4,18.1,34.6,14.8,35.3,4.2,20.3
4567,FL,Florida,Olympia Heights,13488,32.4,21.9,12.4,32.5,78.1,6.3,7.1,80.7,7.2,76.7,88.4,70.5,5.5,31.4,26.8,11.5,61.3,13.6,15.1,19.9,33.2,3.8,33.7,75.2,12.8,28.1,12.0,32.7,3.2,11.4
4577,FL,Florida,Miami Lakes,29361,28.9,17.1,14.4,26.3,72.4,4.9,7.1,82.4,4.9,74.4,87.5,70.7,4.1,34.5,29.9,11.0,64.8,14.2,11.3,15.4,28.7,2.8,28.4,76.4,13.4,27.3,9.8,33.3,2.3,9.0
4578,FL,Florida,Heathrow,5896,12.3,22.5,16.0,29.2,75.1,7.3,7.6,85.5,5.4,76.2,90.9,78.2,5.2,48.7,43.0,11.0,71.1,16.6,8.7,9.4,33.1,2.5,17.8,76.2,11.9,25.9,8.1,30.8,2.4,7.1
4581,FL,Florida,The Hammocks,51003,28.8,16.1,15.0,25.3,70.8,4.3,7.4,81.4,4.4,73.6,86.3,68.7,4.0,32.5,28.7,11.8,63.4,14.6,10.8,15.4,27.3,2.6,28.5,77.0,14.1,27.5,9.8,34.4,2.2,9.5
4585,FL,Florida,Florida Ridge,18164,24.1,27.1,13.6,35.4,77.2,8.1,9.3,80.1,8.3,75.6,86.9,70.4,9.4,38.3,34.0,21.4,57.6,18.8,11.5,18.1,34.9,3.5,27.5,71.4,15.5,32.3,12.6,34.3,4.0,14.1
4593,FL,Florida,Azalea Park,12314,34.8,18.6,14.3,29.7,69.7,4.6,8.6,78.0,5.9,70.4,83.6,65.5,6.9,34.6,31.8,19.2,47.1,17.6,12.1,21.3,28.8,3.1,31.9,73.2,16.6,32.3,12.7,35.4,3.0,17.5
